descripcion	imgUrl	precio	precioPeso	oferta	tipoOferta
LOMO VACUNO CABAÑA BELTRAN AL VACIO X KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400732_m.jpg	$660.00 x kg.	$ 660.0 x Kilogramo		
OJO DE BIFE VACUNO CABAÑA BELTRAN AL VACIO X KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400731_m.jpg	$600.00 x kg.	$ 600.0 x Kilogramo		
VACIO CABAÑA BELTRAN AL VACIO X KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400734_m.jpg	$500.00 x kg.	$ 500.0 x Kilogramo		
MATAMBRE CABAÑA BELTRAN AL VACIO X KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400735_m.jpg	$533.00 x kg.	$ 533.0 x Kilogramo		
COLITA DE CUADRIL CABAÑA BELTRAN AL VACIO X KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400733_m.jpg	$580.00 x kg.	$ 580.0 x Kilogramo		
BIFE DE CHORIZO VACUNO CABAÑA BELTRAN AL VACIO X KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400730_m.jpg	$595.00 x kg.	$ 595.0 x Kilogramo		
TOMAHAWK CABAÑA BELTRAN ENVASADO AL VACIO X KG	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400737_m.jpg	$655.00 x kg.	$ 655.0 x Kilogramo		
T-BONE CABAÑA BELTRAN ENVASADO AL VACIO X KG	https://statics.dinoonline.com.ar/imagenes/medium_150x150/3400738_m.jpg	$655.00 x kg.	$ 655.0 x Kilogramo		
AZUCAR HILERET LIGHT X 500 GR.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2000033_m.jpg	$76.50 x un.	$ 153.0 x Kilogramo		
AZUCAR DOMINO X 1 KG.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2000030_m.jpg	$49.90 x un.antes $54.90 x un.	$ 49.9 x Kilogramo		promotionSuperIcon
AZUCAR HILERET LIGHT X 100 UN.	https://statics.dinoonline.com.ar/imagenes/medium_150x150/2000043_m.jpg	$107.00 x un.	$ 1.07 x Unidad		
